holiday_dt,holiday_type,holiday_desc
3/18/2019,9,School holiday
3/19/2019,9,School holiday
3/20/2019,9,School holiday
3/21/2019,9,School holiday
3/22/2019,9,School holiday
3/23/2019,9,School holiday
3/24/2019,9,School holiday
4/19/2019,8,Good Friday
5/1/2019,8,Labour Day
5/19/2019,8,Vesak
5/20/2019,8,Vesak
5/23/2019,11,CEE
5/24/2019,11,CEE
5/25/2019,11,CEE
5/26/2019,11,CEE
5/30/2019,11,PC Show
5/31/2019,11,PC show
6/1/2019,9,School holiday
6/2/2019,9,School holiday
6/3/2019,9,School holiday
6/4/2019,9,School holiday
6/5/2019,8,Hari Raya Puasa
6/6/2019,9,School holiday
6/7/2019,9,School holiday
6/8/2019,9,School holiday
6/9/2019,9,School holiday
6/10/2019,9,School holiday
6/11/2019,9,School holiday
6/12/2019,9,School holiday
6/13/2019,9,School holiday
6/14/2019,9,School holiday
6/15/2019,9,School holiday
6/16/2019,9,School holiday
6/17/2019,9,School holiday
6/18/2019,9,School holiday
6/19/2019,9,School holiday
6/20/2019,9,School holiday
6/21/2019,9,School holiday
6/22/2019,9,School holiday
6/23/2019,9,School holiday
6/24/2019,9,School holiday
6/25/2019,9,School holiday
6/26/2019,9,School holiday
6/27/2019,9,School holiday
6/28/2019,9,School holiday
6/29/2019,9,School holiday
6/30/2019,9,School holiday
7/8/2019,9,Post Youth Day
8/9/2019,8,National Day
8/11/2019,8,Hari Raya Haji
8/12/2019,8,Hari Raya Haji
9/5/2019,11,Comex
9/6/2019,11,Comex
9/7/2019,11,Comex
9/8/2019,11,Comex
9/6/2019,9,Teacher day
9/7/2019,9,School holiday
9/8/2019,9,School holiday
9/9/2019,9,School holiday
9/10/2019,9,School holiday
9/11/2019,9,School holiday
9/12/2019,9,School holiday
9/13/2019,9,School holiday
9/14/2019,9,School holiday
9/15/2019,9,School holiday
9/16/2019,11,Grand Prix Season
9/17/2019,11,Grand Prix Season
9/18/2019,11,Grand Prix Season
9/19/2019,11,Grand Prix Season
9/20/2019,11,Grand Prix Season
9/21/2019,11,Grand Prix Season
9/22/2019,11,Grand Prix Season
10/4/2019,9,Children day
10/26/2019,10,Secondary School Holiday
10/27/2019,8,Deepavali
10/28/2019,8,Deepavali
10/29/2019,10,Secondary School Holiday
10/30/2019,10,Secondary School Holiday
10/31/2019,10,Secondary School Holiday
11/1/2019,10,Secondary School Holiday
11/2/2019,10,Secondary School Holiday
11/3/2019,10,Secondary School Holiday
11/4/2019,10,Secondary School Holiday
11/5/2019,10,Secondary School Holiday
11/6/2019,10,Secondary School Holiday
11/7/2019,10,Secondary School Holiday
11/8/2019,10,Secondary School Holiday
11/9/2019,10,Secondary School Holiday
11/10/2019,10,Secondary School Holiday
11/11/2019,10,Secondary School Holiday
